Namespace(batch_size=32, binary=False, checkinfo=False, data_dir='/scratch/project_2003455/cloud/vnn/data', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=200, k=20, lr=0.001, model='svnet', momentum=0.9, multi=1, num_points=1024, num_workers=8, pooling='mean', resume=False, resume_from=None, rot='z', rot_test='so3', save_dir='/scratch/project_2002243/zhuo/vnbnn/exp_068', seed=1, test=None, wd=0.0001)
EPOCH 043/200 | Test: loss 1.853719, acc 0.779579, avg acc 0.719901 | Train: loss 1.847738, acc 0.771478, avg acc 0.701036 | lr 0.00049000 | 2022-02-16-09-29-08
EPOCH 044/200 | Test: loss 1.856738, acc 0.775122, avg acc 0.711209 | Train: loss 1.835701, acc 0.774328, avg acc 0.707300 | lr 0.00049000 | 2022-02-16-09-29-35
EPOCH 045/200 | Test: loss 1.848911, acc 0.796596, avg acc 0.736093 | Train: loss 1.836135, acc 0.776059, avg acc 0.706390 | lr 0.00049000 | 2022-02-16-09-30-02
EPOCH 046/200 | Test: loss 1.932003, acc 0.749595, avg acc 0.684512 | Train: loss 1.832794, acc 0.777280, avg acc 0.705248 | lr 0.00049000 | 2022-02-16-09-30-29
EPOCH 047/200 | Test: loss 1.808777, acc 0.803890, avg acc 0.729913 | Train: loss 1.829834, acc 0.775346, avg acc 0.701288 | lr 0.00049000 | 2022-02-16-09-30-56
EPOCH 048/200 | Test: loss 1.866134, acc 0.764587, avg acc 0.689419 | Train: loss 1.813912, acc 0.787357, avg acc 0.721488 | lr 0.00049000 | 2022-02-16-09-31-23
EPOCH 049/200 | Test: loss 1.835680, acc 0.797002, avg acc 0.742337 | Train: loss 1.810526, acc 0.783591, avg acc 0.719354 | lr 0.00049000 | 2022-02-16-09-31-50
EPOCH 050/200 | Test: loss 1.842292, acc 0.791329, avg acc 0.729453 | Train: loss 1.812692, acc 0.785322, avg acc 0.715550 | lr 0.00049000 | 2022-02-16-09-32-17
EPOCH 051/200 | Test: loss 1.877729, acc 0.784846, avg acc 0.737093 | Train: loss 1.806981, acc 0.788579, avg acc 0.718095 | lr 0.00049000 | 2022-02-16-09-32-44
EPOCH 052/200 | Test: loss 1.823494, acc 0.801459, avg acc 0.747936 | Train: loss 1.807179, acc 0.786849, avg acc 0.718806 | lr 0.00049000 | 2022-02-16-09-33-10
EPOCH 053/200 | Test: loss 1.814530, acc 0.809562, avg acc 0.748709 | Train: loss 1.789960, acc 0.792040, avg acc 0.723777 | lr 0.00049000 | 2022-02-16-09-33-37
EPOCH 054/200 | Test: loss 1.808773, acc 0.808752, avg acc 0.752820 | Train: loss 1.790091, acc 0.794076, avg acc 0.722492 | lr 0.00049000 | 2022-02-16-09-34-04
EPOCH 055/200 | Test: loss 1.835191, acc 0.788898, avg acc 0.730860 | Train: loss 1.788945, acc 0.796722, avg acc 0.727939 | lr 0.00049000 | 2022-02-16-09-34-31
EPOCH 056/200 | Test: loss 1.839380, acc 0.801864, avg acc 0.728256 | Train: loss 1.779065, acc 0.803135, avg acc 0.740733 | lr 0.00049000 | 2022-02-16-09-34-58
EPOCH 057/200 | Test: loss 1.799381, acc 0.807942, avg acc 0.744006 | Train: loss 1.774507, acc 0.804764, avg acc 0.739539 | lr 0.00049000 | 2022-02-16-09-35-26
EPOCH 058/200 | Test: loss 1.828825, acc 0.798217, avg acc 0.738378 | Train: loss 1.775511, acc 0.800896, avg acc 0.740468 | lr 0.00049000 | 2022-02-16-09-35-53
EPOCH 059/200 | Test: loss 1.819389, acc 0.805916, avg acc 0.741738 | Train: loss 1.763197, acc 0.811177, avg acc 0.747905 | lr 0.00049000 | 2022-02-16-09-36-20
